Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Polytheist Religions for Writers",4/25/2015,17:00,4/25/2015,17:50,FALSE,"Many fantasy (and SF) worlds have their own religions. However, we often assume that religions with more than one deity work the same as more familiar monotheist ones, or we rely on simplistic retellings of mythology or 'shaggy god stories.' Which writers do a good job weaving 'the gods' into their stories? How did different polytheist cultures interact? What features of historical (or current) polytheist religions can we use to enrich our worlds and generate plot points?  Speakers include:Paul Kemner, Ericka Kahler - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Polytheist Religions for Writers",4/25/2015,17:00,4/25/2015,17:50,FALSE,"Many fantasy (and SF) worlds have their own religions. However, we often assume that religions with more than one deity work the same as more familiar monotheist ones, or we rely on simplistic retellings of mythology or 'shaggy god stories.' Which writers do a good job weaving 'the gods' into their stories? How did different polytheist cultures interact? What features of historical (or current) polytheist religions can we use to enrich our worlds and generate plot points?  Speakers include:Paul Kemner, Ericka Kahler - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Story Structure: What Is It, and Can It Make Your Writing Zoom?",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Got a story that doesn't move, or just seems a bit flat? Can't figure out what comes next, or how to bring it to a satisfactory conclusion? Maybe it needs some structure! What's the story type- Milieu, Idea, Character, or Event? Will a Three-Act arrangement give it some shape, or would the Hollywood Formula make more sense? We'll look at different story structures, using movies we've probably all seen as examples.  Speakers include:Paul Kemner, Ericka Kahler, Suzanne Church, Clarence Young, Charlie Jane Anders - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix B",PUBLIC
"Story Structure: What Is It, and Can It Make Your Writing Zoom?",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Got a story that doesn't move, or just seems a bit flat? Can't figure out what comes next, or how to bring it to a satisfactory conclusion? Maybe it needs some structure! What's the story type- Milieu, Idea, Character, or Event? Will a Three-Act arrangement give it some shape, or would the Hollywood Formula make more sense? We'll look at different story structures, using movies we've probably all seen as examples.  Speakers include:Paul Kemner, Ericka Kahler, Suzanne Church, Clarence Young, Charlie Jane Anders - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix B",PUBLIC
"Polytheist Religions for Writers",4/25/2015,17:00,4/25/2015,17:50,FALSE,"Many fantasy (and SF) worlds have their own religions. However, we often assume that religions with more than one deity work the same as more familiar monotheist ones, or we rely on simplistic retellings of mythology or 'shaggy god stories.' Which writers do a good job weaving 'the gods' into their stories? How did different polytheist cultures interact? What features of historical (or current) polytheist religions can we use to enrich our worlds and generate plot points?  Speakers include:Paul Kemner, Ericka Kahler - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Polytheist Religions for Writers",4/25/2015,17:00,4/25/2015,17:50,FALSE,"Many fantasy (and SF) worlds have their own religions. However, we often assume that religions with more than one deity work the same as more familiar monotheist ones, or we rely on simplistic retellings of mythology or 'shaggy god stories.' Which writers do a good job weaving 'the gods' into their stories? How did different polytheist cultures interact? What features of historical (or current) polytheist religions can we use to enrich our worlds and generate plot points?  Speakers include:Paul Kemner, Ericka Kahler - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Polytheist Religions for Writers",4/25/2015,17:00,4/25/2015,17:50,FALSE,"Many fantasy (and SF) worlds have their own religions. However, we often assume that religions with more than one deity work the same as more familiar monotheist ones, or we rely on simplistic retellings of mythology or 'shaggy god stories.' Which writers do a good job weaving 'the gods' into their stories? How did different polytheist cultures interact? What features of historical (or current) polytheist religions can we use to enrich our worlds and generate plot points?  Speakers include:Paul Kemner, Ericka Kahler - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Story Structure: What Is It, and Can It Make Your Writing Zoom?",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Got a story that doesn't move, or just seems a bit flat? Can't figure out what comes next, or how to bring it to a satisfactory conclusion? Maybe it needs some structure! What's the story type- Milieu, Idea, Character, or Event? Will a Three-Act arrangement give it some shape, or would the Hollywood Formula make more sense? We'll look at different story structures, using movies we've probably all seen as examples.  Speakers include:Paul Kemner, Ericka Kahler, Suzanne Church, Clarence Young, Charlie Jane Anders - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix B",PUBLIC
"Story Structure: What Is It, and Can It Make Your Writing Zoom?",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Got a story that doesn't move, or just seems a bit flat? Can't figure out what comes next, or how to bring it to a satisfactory conclusion? Maybe it needs some structure! What's the story type- Milieu, Idea, Character, or Event? Will a Three-Act arrangement give it some shape, or would the Hollywood Formula make more sense? We'll look at different story structures, using movies we've probably all seen as examples.  Speakers include:Paul Kemner, Ericka Kahler, Suzanne Church, Clarence Young, Charlie Jane Anders - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix B",PUBLIC
"Story Structure: What Is It, and Can It Make Your Writing Zoom?",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Got a story that doesn't move, or just seems a bit flat? Can't figure out what comes next, or how to bring it to a satisfactory conclusion? Maybe it needs some structure! What's the story type- Milieu, Idea, Character, or Event? Will a Three-Act arrangement give it some shape, or would the Hollywood Formula make more sense? We'll look at different story structures, using movies we've probably all seen as examples.  Speakers include:Paul Kemner, Ericka Kahler, Suzanne Church, Clarence Young, Charlie Jane Anders - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix B",PUBLIC
