Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Thought Experiments: Guided Meditation",4/24/2015,17:00,4/24/2015,17:50,FALSE,"A guided meditation where attendees get to work with mind mapping, goal setting and thought experiments. Attendees will have a chance to write down and draw out what comes to their mind afterwards.  Speakers include:Shetan Noir - Track: Life  - Duration: 50 minutes - Audio/video needs: Sound System ","Charlevoix A",PUBLIC
"A Beginners Guide to Self-Publishing",4/24/2015,20:00,4/24/2015,20:50,FALSE,"A discussion the ins and outs of how and where to publish your work. Topics will include formatting programs, editing, deciding who will carry your book, getting into bookstores, and advertising.  Speakers include:Patty Templeton, Michael Elliott, Shetan Noir - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"How to Get Rid of the Paranormal",4/24/2015,21:00,4/24/2015,21:50,FALSE,"How to remove unwanted things/beings from life, home and being. Discussion of different practices and spells and ingredients that help to remove annoyances. After ghost hunting and magically cleansing many homes, I have found different things that work to remove attachments and parasitic paranormals.  Speakers include:Shetan Noir - Track: After Dark  - Duration: 50 minutes - Audio/video needs: none ","Montcalm",PUBLIC
"Cryptozoology and the Paranormal in the Great Lakes Area",4/24/2015,23:00,4/24/2015,23:50,FALSE,"Come learn about and discuss cryptozoology and paranormal wonders of our local area .  Speakers include:Shetan Noir - Track: After Dark  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix C",PUBLIC
"Thought Experiments: Guided Meditation",4/24/2015,17:00,4/24/2015,17:50,FALSE,"A guided meditation where attendees get to work with mind mapping, goal setting and thought experiments. Attendees will have a chance to write down and draw out what comes to their mind afterwards.  Speakers include:Shetan Noir - Track: Life  - Duration: 50 minutes - Audio/video needs: Sound System ","Charlevoix A",PUBLIC
"Acts of Shameless Self-Promotion",4/25/2015,9:00,4/25/2015,9:50,FALSE,"Come discuss and learn different methods of self-promoting your own work and getting people to notice. From book promoting to belly dance shows, there are tactics that work for everyone.  Speakers include:Shetan Noir - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix A",PUBLIC
"A Beginners Guide to Self-Publishing",4/24/2015,20:00,4/24/2015,20:50,FALSE,"A discussion the ins and outs of how and where to publish your work. Topics will include formatting programs, editing, deciding who will carry your book, getting into bookstores, and advertising.  Speakers include:Patty Templeton, Michael Elliott, Shetan Noir - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"How to Get Rid of the Paranormal",4/24/2015,21:00,4/24/2015,21:50,FALSE,"How to remove unwanted things/beings from life, home and being. Discussion of different practices and spells and ingredients that help to remove annoyances. After ghost hunting and magically cleansing many homes, I have found different things that work to remove attachments and parasitic paranormals.  Speakers include:Shetan Noir - Track: After Dark  - Duration: 50 minutes - Audio/video needs: none ","Montcalm",PUBLIC
"Cryptozoology and the Paranormal in the Great Lakes Area",4/24/2015,23:00,4/24/2015,23:50,FALSE,"Come learn about and discuss cryptozoology and paranormal wonders of our local area .  Speakers include:Shetan Noir - Track: After Dark  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix C",PUBLIC
"Acts of Shameless Self-Promotion",4/25/2015,9:00,4/25/2015,9:50,FALSE,"Come discuss and learn different methods of self-promoting your own work and getting people to notice. From book promoting to belly dance shows, there are tactics that work for everyone.  Speakers include:Shetan Noir - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix A",PUBLIC
"Pros and Cons of Writing for Examiner.com & Yahoo's Associated Content",4/25/2015,14:00,4/25/2015,14:50,FALSE,"Have you considered writing for Examiner.com or Yahoo's Associated Content? Join us for a discussion of the good and the bad, and how this compares to writing for magazines. Will will also cover how to build your writing portfolio and setting deadlines for yourself.  Speakers include:Shetan Noir, Rob Reed - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Montcalm",PUBLIC
"Pros and Cons of Writing for Examiner.com & Yahoo's Associated Content",4/25/2015,14:00,4/25/2015,14:50,FALSE,"Have you considered writing for Examiner.com or Yahoo's Associated Content? Join us for a discussion of the good and the bad, and how this compares to writing for magazines. Will will also cover how to build your writing portfolio and setting deadlines for yourself.  Speakers include:Shetan Noir, Rob Reed - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Montcalm",PUBLIC
