Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"AHA Badge Soldering","5/3/2019","17:00","5/3/2019","21:00","FALSE","Its a yearly tradition to for All Hands Active to bring a special badge soldering project. There are two projects to choose from this year, a quick and easy option and a more complex one. Kits are available for purchase. All proceeds go directly to AHA.  Speakers include:AHA","Hackerspace [328]",PUBLIC
"So This is Your First Penguicon...","5/3/2019","17:00","5/3/2019","18:00","FALSE","So it's your first time! One of us! One of us! Great, now that you're here, how do you do it right? What's up with the ribbons? How do you pick what you want do when soooomg many things are going on? Where's the free beer? What happened to the brazilian beef? Why is hand sanitizer terrible salad dressing? Learn some survival tips and hear some heart-warming stories from some seasoned experts, previous conchairs, and convention organizers!  Speakers include:Cassy Sinke, Lithie Dubois, Janet Gocay, Scott Kennedy, Jessica Ann Roland, Nuri Gocay","Algonquin B",PUBLIC
"Opening Ceremonies","5/3/2019","18:00","5/3/2019","19:00","FALSE","Join Jessica Roland, our illustrious ConChair, the rest of the ConCom, and our amazing Guests of Honor as they kick off another fabulous Penguicon! You never know what might happen!  Speakers include:Cassy Sinke, Zed Shaw, Mikey Mason, Matt Arnold, Chelle Silas, Scott Kennedy, Christie Bertie, Karen Corbeill, Jeff Marraccini, Randy Bradakis, Niki MacRae, Paul Keyes, Sophia Brueckner, Saladin Ahmed, Danny Hansen, Jessica Ann Roland, Amanda Long-Adams, Alison Chan, Brigit Bradakis","Algonquin C/D",PUBLIC
"AHA Badge Soldering","5/4/2019","10:00","5/4/2019","13:00","FALSE","Its a yearly tradition to for All Hands Active to bring a special badge soldering project. There are two projects to choose from this year, a quick and easy option and a more complex one. Kits are available for purchase. All proceeds go directly to AHA.  Speakers include:AHA","Hackerspace [328]",PUBLIC
"Coffee Ritual","5/4/2019","10:00","5/4/2019","11:00","FALSE","Back by popular demand, the Pope of Coffee shall blesspresso The Holy Of Holies: the most theatrical brewing method ever devised. The acolytes will serve the Holy Liquid unto the congregation, who shall raise the sacrament to the east, and in unison, recite the litany 'God, I needed that!' Look for a blend of cafe'ths such as Press-byterian, Buzzentine, Sipiscopal, and even Atheismericano.  Speakers include:Matt Arnold","Nicolet",PUBLIC
"Autonomous RC Car Race","5/4/2019","13:00","5/4/2019","16:00","FALSE","Autonomous RC Car Racing Series is a competition where builders from across the Metro Detroit and Ann Arbor areas will race their own self-driving 1/10 and 1/12 scale RC cars around our track as quickly as possible. The cars use a variety of software including TensorFlow, OpenCV and ROS. Remote-control cars will also be available for audience members to try to compete against us! Learn to build your own self-driving car at diyrobocars.com  Speakers include:Scott Scheraga","Algonquin C/D",PUBLIC
"AHA Badge Soldering","5/4/2019","15:00","5/4/2019","17:00","FALSE","Its a yearly tradition to for All Hands Active to bring a special badge soldering project. There are two projects to choose from this year, a quick and easy option and a more complex one. Kits are available for purchase. All proceeds go directly to AHA.  Speakers include:AHA","Hackerspace [328]",PUBLIC
"AHA Badge Soldering","5/4/2019","19:00","5/4/2019","23:00","FALSE","Its a yearly tradition to for All Hands Active to bring a special badge soldering project. There are two projects to choose from this year, a quick and easy option and a more complex one. Kits are available for purchase. All proceeds go directly to AHA.  Speakers include:AHA","Hackerspace [328]",PUBLIC
"Mikey Mason: Comedy Rock Geek!","5/4/2019","20:00","5/4/2019","22:00","FALSE","A nationally touring performer with more than a decade of professional stand-up comedy experience, and with hits like She Don't Like Firefly, Best Game Ever, and Opposite of Cool, Mikey Mason is a ball of contagious enthusiasm who makes songs about role-playing games, video games, sci-fi, fantasy, cats, and the general experience of being a geek. His personal anthem, The Opposite of Cool, strikes a nearly universal nerve wherever he plays it. Hes been heard on nerdist.com, SyFy, TheFuMP.com, and Dr. Demento, and is a truly must-see event each time he performs.  Speakers include:Mikey Mason","Algonquin C/D",PUBLIC
"AHA Badge Soldering","5/5/2019","10:00","5/5/2019","14:00","FALSE","Its a yearly tradition to for All Hands Active to bring a special badge soldering project. There are two projects to choose from this year, a quick and easy option and a more complex one. Kits are available for purchase. All proceeds go directly to AHA.  Speakers include:AHA","Hackerspace [328]",PUBLIC
"Penguicon Board of Directors Meeting","5/5/2019","11:00","5/5/2019","12:00","FALSE","Each year of Penguicon is run by a Convention Committee, selected by the ConChair. The Penguicon Board is the group that selects each year's ConChair and approves their budget. The Board also handles any decision which would be binding on a future ConChair who is selected yet. The quarterly Board Meetings are open to the public, but we also have one during Penguicon so you can ask your questions about Penguicons of the future, ure, ure, ure!  Speakers include:James Hice, Matt Arnold, Chelle Silas, Randy Bradakis, Amanda Long-Adams","EMC V",PUBLIC
"Closing Ceremonies","5/5/2019","15:00","5/5/2019","16:00","FALSE","It is so hard to say goodbye. Join us at closing ceremonies as we recap the amazingness of Penguicon 2019, hear final thoughts from our Guests of Honor, and learn a little about plans for 2020!  Speakers include:Cassy Sinke, Zed Shaw, Mikey Mason, Matt Arnold, Chelle Silas, Scott Kennedy, Christie Bertie, Karen Corbeill, Jeff Marraccini, Randy Bradakis, Niki MacRae, Paul Keyes, Sophia Brueckner, Saladin Ahmed, Danny Hansen, Jessica Ann Roland, Amanda Long-Adams, Alison Chan, Brigit Bradakis","Algonquin C/D",PUBLIC
