Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Learn Chess",4/24/2015,19:00,4/24/2015,19:50,FALSE,"Ever been curious about chess? Need a refresher before the doubles tournament? This is the place to be. All skill levels welcome, as beginners will learn faster with additional coaches! Drag your friends along, too.  Speakers include:Rick Houser, Seth Breidbart - Track: Gaming  - Duration: 50 minutes - Audio/video needs: none ","Gaming [Lobby]",PUBLIC
"Learn Chess",4/24/2015,19:00,4/24/2015,19:50,FALSE,"Ever been curious about chess? Need a refresher before the doubles tournament? This is the place to be. All skill levels welcome, as beginners will learn faster with additional coaches! Drag your friends along, too.  Speakers include:Rick Houser, Seth Breidbart - Track: Gaming  - Duration: 50 minutes - Audio/video needs: none ","Gaming [Lobby]",PUBLIC
"Learn Bug House (Chess)",4/25/2015,11:00,4/25/2015,11:50,FALSE,"So, you know how to play chess - this is Penguicon, so bring on the chaos! 'Doubles Speed' or 'Bug House' is a fast-paced, team variant of chess that makes a heated game of Dominion look tame. It is anything but civilized, but a ton of fun. We'll go over the basics, and then play a couple games. Please come knowing how to play a basic game of chess. If you attended the Learn Chess event, and understood the rules, that's good enough.  Speakers include:Rick Houser, Seth Breidbart - Track: Gaming  - Duration: 50 minutes - Audio/video needs: none ","Gaming [Lobby]",PUBLIC
"RPM Packaging Workshop",4/25/2015,12:00,4/25/2015,12:50,FALSE,"Wonder how RPM packages are put together? Want to learn how to do it yourself? This session will be a mix of presentation, and a workshop where everyone follows along with packaging a few simple, pre-selected source tarballs. A notebook running an RPM distribution (or remote access) is strongly preferred, but not required. Stick around for the Pack-a-thon, and you can put your skills to use with your own software.  Speakers include:Rick Houser - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Charlevoix C",PUBLIC
"Learn Bug House (Chess)",4/25/2015,11:00,4/25/2015,11:50,FALSE,"So, you know how to play chess - this is Penguicon, so bring on the chaos! 'Doubles Speed' or 'Bug House' is a fast-paced, team variant of chess that makes a heated game of Dominion look tame. It is anything but civilized, but a ton of fun. We'll go over the basics, and then play a couple games. Please come knowing how to play a basic game of chess. If you attended the Learn Chess event, and understood the rules, that's good enough.  Speakers include:Rick Houser, Seth Breidbart - Track: Gaming  - Duration: 50 minutes - Audio/video needs: none ","Gaming [Lobby]",PUBLIC
"Pack-a-thon",4/25/2015,13:00,4/25/2015,13:50,FALSE,"Linux distributions don't package themselves. Show up and help make it happen! We will all join together to package software of the attendees choice so it's easier for the community to use. Help will be available for all the intricate details of RPM packaging, but DEB packagers are also welcome. Please come with either knowledge of Linux software packaging or prior attendance at the RPM Packaging Workshop. Please bring a notebook running a Linux distribution (or remote access).  Speakers include:Rick Houser - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Charlevoix C",PUBLIC
"RPM Packaging Workshop",4/25/2015,12:00,4/25/2015,12:50,FALSE,"Wonder how RPM packages are put together? Want to learn how to do it yourself? This session will be a mix of presentation, and a workshop where everyone follows along with packaging a few simple, pre-selected source tarballs. A notebook running an RPM distribution (or remote access) is strongly preferred, but not required. Stick around for the Pack-a-thon, and you can put your skills to use with your own software.  Speakers include:Rick Houser - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Charlevoix C",PUBLIC
"Pack-a-thon",4/25/2015,13:00,4/25/2015,13:50,FALSE,"Linux distributions don't package themselves. Show up and help make it happen! We will all join together to package software of the attendees choice so it's easier for the community to use. Help will be available for all the intricate details of RPM packaging, but DEB packagers are also welcome. Please come with either knowledge of Linux software packaging or prior attendance at the RPM Packaging Workshop. Please bring a notebook running a Linux distribution (or remote access).  Speakers include:Rick Houser - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Charlevoix C",PUBLIC
"Bug House (Chess) Tournament",4/25/2015,15:00,4/25/2015,16:50,FALSE,"The first Penguicon Chess Tournament has arrived! Bug House games are extremely fast paced team play often involving shouting and some very non-traditional mechanics. Even if you don't play chess, feel free to swing by and take a peak. This tournament will -not- be elimination, so expect to get 4-5 games in. There will be a sign-up sheet at Ops. Chess set availability is limited. Those that bring a set get first priority; second priority goes to those on the sign-up sheet, in order. Equipment: If you have a chess set or durable clock, please bring it. We do have a limited number of sets available for use. You need to know at least one variant of Bug House or Doubles Speed, get introduced at the earlier Learn Bug House event! As long as you understand the rules, don't worry about not being good enough!  Speakers include:Rick Houser, Seth Breidbart - Track: Gaming  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Gaming [Lobby]",PUBLIC
"Bug House (Chess) Tournament",4/25/2015,15:00,4/25/2015,16:50,FALSE,"The first Penguicon Chess Tournament has arrived! Bug House games are extremely fast paced team play often involving shouting and some very non-traditional mechanics. Even if you don't play chess, feel free to swing by and take a peak. This tournament will -not- be elimination, so expect to get 4-5 games in. There will be a sign-up sheet at Ops. Chess set availability is limited. Those that bring a set get first priority; second priority goes to those on the sign-up sheet, in order. Equipment: If you have a chess set or durable clock, please bring it. We do have a limited number of sets available for use. You need to know at least one variant of Bug House or Doubles Speed, get introduced at the earlier Learn Bug House event! As long as you understand the rules, don't worry about not being good enough!  Speakers include:Rick Houser, Seth Breidbart - Track: Gaming  - Duration: 1 hour and 50 minutes - Audio/video needs: none ","Gaming [Lobby]",PUBLIC
