Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Retro Games: Better than New",4/24/2015,19:00,4/24/2015,19:50,FALSE,"There has been a huge influx of interest in classic games. From Barcades to stores selling Retro Games, why, in a world of PS4s and XBox Ones, are we suddenly obsessed with Atari 2600s and Nintendo Entertainment Systems? What can modern game makers learn from our continued love of more simple games?  Speakers include:Angie Rush, Brittany Burke, Britain Woodman - Track: Videogaming  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Retro Gaming: Come Play!",4/25/2015,12:00,4/25/2015,17:50,FALSE,"Come relive your youth as you play away the hours on a collection of retro gaming systems, including Atari 2600, NES, SNES and many others.   Speakers include:Angie Rush, Brittany Burke, Chris Roland - Track: Videogaming  - Duration: 5 hours and 50 minutes - Audio/video needs: none ","Board of Trustees",PUBLIC
"Retro Games: Better than New",4/24/2015,19:00,4/24/2015,19:50,FALSE,"There has been a huge influx of interest in classic games. From Barcades to stores selling Retro Games, why, in a world of PS4s and XBox Ones, are we suddenly obsessed with Atari 2600s and Nintendo Entertainment Systems? What can modern game makers learn from our continued love of more simple games?  Speakers include:Angie Rush, Brittany Burke, Britain Woodman - Track: Videogaming  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Retro Games: Better than New",4/24/2015,19:00,4/24/2015,19:50,FALSE,"There has been a huge influx of interest in classic games. From Barcades to stores selling Retro Games, why, in a world of PS4s and XBox Ones, are we suddenly obsessed with Atari 2600s and Nintendo Entertainment Systems? What can modern game makers learn from our continued love of more simple games?  Speakers include:Angie Rush, Brittany Burke, Britain Woodman - Track: Videogaming  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Retro Gaming: Come Play!",4/25/2015,12:00,4/25/2015,17:50,FALSE,"Come relive your youth as you play away the hours on a collection of retro gaming systems, including Atari 2600, NES, SNES and many others.   Speakers include:Angie Rush, Brittany Burke, Chris Roland - Track: Videogaming  - Duration: 5 hours and 50 minutes - Audio/video needs: none ","Board of Trustees",PUBLIC
"Retro Games: Better than New",4/24/2015,19:00,4/24/2015,19:50,FALSE,"There has been a huge influx of interest in classic games. From Barcades to stores selling Retro Games, why, in a world of PS4s and XBox Ones, are we suddenly obsessed with Atari 2600s and Nintendo Entertainment Systems? What can modern game makers learn from our continued love of more simple games?  Speakers include:Angie Rush, Brittany Burke, Britain Woodman - Track: Videogaming  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Retro Gaming: Come Play!",4/25/2015,12:00,4/25/2015,17:50,FALSE,"Come relive your youth as you play away the hours on a collection of retro gaming systems, including Atari 2600, NES, SNES and many others.   Speakers include:Angie Rush, Brittany Burke, Chris Roland - Track: Videogaming  - Duration: 5 hours and 50 minutes - Audio/video needs: none ","Board of Trustees",PUBLIC
"Retro Games: Better than New",4/24/2015,19:00,4/24/2015,19:50,FALSE,"There has been a huge influx of interest in classic games. From Barcades to stores selling Retro Games, why, in a world of PS4s and XBox Ones, are we suddenly obsessed with Atari 2600s and Nintendo Entertainment Systems? What can modern game makers learn from our continued love of more simple games?  Speakers include:Angie Rush, Brittany Burke, Britain Woodman - Track: Videogaming  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Retro Gaming: Come Play!",4/25/2015,12:00,4/25/2015,17:50,FALSE,"Come relive your youth as you play away the hours on a collection of retro gaming systems, including Atari 2600, NES, SNES and many others.   Speakers include:Angie Rush, Brittany Burke, Chris Roland - Track: Videogaming  - Duration: 5 hours and 50 minutes - Audio/video needs: none ","Board of Trustees",PUBLIC
"Retro Gaming: Come Play!",4/25/2015,12:00,4/25/2015,17:50,FALSE,"Come relive your youth as you play away the hours on a collection of retro gaming systems, including Atari 2600, NES, SNES and many others.   Speakers include:Angie Rush, Brittany Burke, Chris Roland - Track: Videogaming  - Duration: 5 hours and 50 minutes - Audio/video needs: none ","Board of Trustees",PUBLIC
"Retro Games: Better than New",4/24/2015,19:00,4/24/2015,19:50,FALSE,"There has been a huge influx of interest in classic games. From Barcades to stores selling Retro Games, why, in a world of PS4s and XBox Ones, are we suddenly obsessed with Atari 2600s and Nintendo Entertainment Systems? What can modern game makers learn from our continued love of more simple games?  Speakers include:Angie Rush, Brittany Burke, Britain Woodman - Track: Videogaming  - Duration: 50 minutes - Audio/video needs: none ","Hamlin",PUBLIC
"Retro Gaming: Come Play!",4/25/2015,12:00,4/25/2015,17:50,FALSE,"Come relive your youth as you play away the hours on a collection of retro gaming systems, including Atari 2600, NES, SNES and many others.   Speakers include:Angie Rush, Brittany Burke, Chris Roland - Track: Videogaming  - Duration: 5 hours and 50 minutes - Audio/video needs: none ","Board of Trustees",PUBLIC
