Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"So You Want to Run a Race",4/25/2015,9:00,4/25/2015,9:50,FALSE,"From Color Races to Zombie Runs to Warrior Dashes, there seem to be races for all different interests. But what if you haven't even done a 5k before? Heck, what if you haven't even run around the block lately? Learn the basics of what is needed to prepare for your first race, from race selection to training and nutrition to the dos and don'ts of race day. Geared towards beginners.  Speakers include:Lana Krolikowski - Track: Life, Action Adventure  - Duration: 50 minutes - Audio/video needs: projector ","Charlevoix C",PUBLIC
"What Do Your Users Really Think?",4/25/2015,14:00,4/25/2015,14:50,FALSE,"User testing is becoming easier and easier to do for prototypes, ideas, software and websites, and can help you make a better product. Learn about some of the easy ways to get real user opinions to help make your designs more usable and useful. We will explore both free and pay sites, as well as offline techniques.  Speakers include:Lana Krolikowski, Aral Balkan - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Algonquin D",PUBLIC
"How to Stay Fit on the Road",4/25/2015,16:00,4/25/2015,16:50,FALSE,"Panel discussion on workouts that can be done anywhere, including equipment that is compact enough to take anywhere and how to properly use it. We'll talk about different ways to anchor equipment for safety and efficiency, body weight workouts for when there are no anchors, and if time permits, a brief discussion about fitness related mobile apps.  Speakers include:William Bowen, Lana Krolikowski - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"So You Want to Run a Race",4/25/2015,9:00,4/25/2015,9:50,FALSE,"From Color Races to Zombie Runs to Warrior Dashes, there seem to be races for all different interests. But what if you haven't even done a 5k before? Heck, what if you haven't even run around the block lately? Learn the basics of what is needed to prepare for your first race, from race selection to training and nutrition to the dos and don'ts of race day. Geared towards beginners.  Speakers include:Lana Krolikowski - Track: Life, Action Adventure  - Duration: 50 minutes - Audio/video needs: projector ","Charlevoix C",PUBLIC
"What Do Your Users Really Think?",4/25/2015,14:00,4/25/2015,14:50,FALSE,"User testing is becoming easier and easier to do for prototypes, ideas, software and websites, and can help you make a better product. Learn about some of the easy ways to get real user opinions to help make your designs more usable and useful. We will explore both free and pay sites, as well as offline techniques.  Speakers include:Lana Krolikowski, Aral Balkan - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Algonquin D",PUBLIC
"How to Stay Fit on the Road",4/25/2015,16:00,4/25/2015,16:50,FALSE,"Panel discussion on workouts that can be done anywhere, including equipment that is compact enough to take anywhere and how to properly use it. We'll talk about different ways to anchor equipment for safety and efficiency, body weight workouts for when there are no anchors, and if time permits, a brief discussion about fitness related mobile apps.  Speakers include:William Bowen, Lana Krolikowski - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"So You Want to Run a Race",4/25/2015,9:00,4/25/2015,9:50,FALSE,"From Color Races to Zombie Runs to Warrior Dashes, there seem to be races for all different interests. But what if you haven't even done a 5k before? Heck, what if you haven't even run around the block lately? Learn the basics of what is needed to prepare for your first race, from race selection to training and nutrition to the dos and don'ts of race day. Geared towards beginners.  Speakers include:Lana Krolikowski - Track: Life, Action Adventure  - Duration: 50 minutes - Audio/video needs: projector ","Charlevoix C",PUBLIC
"So You Want to Run a Race",4/25/2015,9:00,4/25/2015,9:50,FALSE,"From Color Races to Zombie Runs to Warrior Dashes, there seem to be races for all different interests. But what if you haven't even done a 5k before? Heck, what if you haven't even run around the block lately? Learn the basics of what is needed to prepare for your first race, from race selection to training and nutrition to the dos and don'ts of race day. Geared towards beginners.  Speakers include:Lana Krolikowski - Track: Life, Action Adventure  - Duration: 50 minutes - Audio/video needs: projector ","Charlevoix C",PUBLIC
"What Do Your Users Really Think?",4/25/2015,14:00,4/25/2015,14:50,FALSE,"User testing is becoming easier and easier to do for prototypes, ideas, software and websites, and can help you make a better product. Learn about some of the easy ways to get real user opinions to help make your designs more usable and useful. We will explore both free and pay sites, as well as offline techniques.  Speakers include:Lana Krolikowski, Aral Balkan - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Algonquin D",PUBLIC
"So You Want to Run a Race",4/25/2015,9:00,4/25/2015,9:50,FALSE,"From Color Races to Zombie Runs to Warrior Dashes, there seem to be races for all different interests. But what if you haven't even done a 5k before? Heck, what if you haven't even run around the block lately? Learn the basics of what is needed to prepare for your first race, from race selection to training and nutrition to the dos and don'ts of race day. Geared towards beginners.  Speakers include:Lana Krolikowski - Track: Life, Action Adventure  - Duration: 50 minutes - Audio/video needs: projector ","Charlevoix C",PUBLIC
"How to Stay Fit on the Road",4/25/2015,16:00,4/25/2015,16:50,FALSE,"Panel discussion on workouts that can be done anywhere, including equipment that is compact enough to take anywhere and how to properly use it. We'll talk about different ways to anchor equipment for safety and efficiency, body weight workouts for when there are no anchors, and if time permits, a brief discussion about fitness related mobile apps.  Speakers include:William Bowen, Lana Krolikowski - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"What Do Your Users Really Think?",4/25/2015,14:00,4/25/2015,14:50,FALSE,"User testing is becoming easier and easier to do for prototypes, ideas, software and websites, and can help you make a better product. Learn about some of the easy ways to get real user opinions to help make your designs more usable and useful. We will explore both free and pay sites, as well as offline techniques.  Speakers include:Lana Krolikowski, Aral Balkan - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Algonquin D",PUBLIC
"How to Stay Fit on the Road",4/25/2015,16:00,4/25/2015,16:50,FALSE,"Panel discussion on workouts that can be done anywhere, including equipment that is compact enough to take anywhere and how to properly use it. We'll talk about different ways to anchor equipment for safety and efficiency, body weight workouts for when there are no anchors, and if time permits, a brief discussion about fitness related mobile apps.  Speakers include:William Bowen, Lana Krolikowski - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"What Do Your Users Really Think?",4/25/2015,14:00,4/25/2015,14:50,FALSE,"User testing is becoming easier and easier to do for prototypes, ideas, software and websites, and can help you make a better product. Learn about some of the easy ways to get real user opinions to help make your designs more usable and useful. We will explore both free and pay sites, as well as offline techniques.  Speakers include:Lana Krolikowski, Aral Balkan - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Algonquin D",PUBLIC
"How to Stay Fit on the Road",4/25/2015,16:00,4/25/2015,16:50,FALSE,"Panel discussion on workouts that can be done anywhere, including equipment that is compact enough to take anywhere and how to properly use it. We'll talk about different ways to anchor equipment for safety and efficiency, body weight workouts for when there are no anchors, and if time permits, a brief discussion about fitness related mobile apps.  Speakers include:William Bowen, Lana Krolikowski - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"So You Want to Run a Race",4/25/2015,9:00,4/25/2015,9:50,FALSE,"From Color Races to Zombie Runs to Warrior Dashes, there seem to be races for all different interests. But what if you haven't even done a 5k before? Heck, what if you haven't even run around the block lately? Learn the basics of what is needed to prepare for your first race, from race selection to training and nutrition to the dos and don'ts of race day. Geared towards beginners.  Speakers include:Lana Krolikowski - Track: Life, Action Adventure  - Duration: 50 minutes - Audio/video needs: projector ","Charlevoix C",PUBLIC
"What Do Your Users Really Think?",4/25/2015,14:00,4/25/2015,14:50,FALSE,"User testing is becoming easier and easier to do for prototypes, ideas, software and websites, and can help you make a better product. Learn about some of the easy ways to get real user opinions to help make your designs more usable and useful. We will explore both free and pay sites, as well as offline techniques.  Speakers include:Lana Krolikowski, Aral Balkan - Track: Tech  - Duration: 50 minutes - Audio/video needs: Projector ","Algonquin D",PUBLIC
"How to Stay Fit on the Road",4/25/2015,16:00,4/25/2015,16:50,FALSE,"Panel discussion on workouts that can be done anywhere, including equipment that is compact enough to take anywhere and how to properly use it. We'll talk about different ways to anchor equipment for safety and efficiency, body weight workouts for when there are no anchors, and if time permits, a brief discussion about fitness related mobile apps.  Speakers include:William Bowen, Lana Krolikowski - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
