Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
"Friendship at the Speed of Sound",4/24/2015,21:00,4/24/2015,21:50,FALSE,"Meeting people can be difficult and sometimes impossible to do as an adult. This is especially true if you find social settings overwhelming. Come to this panel to meet other attendees in a informal setting. Find people with similar interests to hang with while you are at the con. Conversation starters will be provided.  Speakers include:Jessica Roland, Carol Thomas, Paul Kemner - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"Level up with HabitRPG ",4/25/2015,9:00,4/25/2015,9:50,FALSE,"Learn about & share tips for HabitRPG, an open-source habit building program that treats your life like a Role Playing Game. After a brief intro for newbies, participants will share how they've used HabitRPG to have fun, develop better habits, Get Things Done, and gamify their lives.  Speakers include:Paul Kemner - Track: Life, Gaming  - Duration: 50 minutes - Audio/video needs: Projector ","Montcalm",PUBLIC
"Friendship at the Speed of Sound",4/24/2015,21:00,4/24/2015,21:50,FALSE,"Meeting people can be difficult and sometimes impossible to do as an adult. This is especially true if you find social settings overwhelming. Come to this panel to meet other attendees in a informal setting. Find people with similar interests to hang with while you are at the con. Conversation starters will be provided.  Speakers include:Jessica Roland, Carol Thomas, Paul Kemner - Track: Life  - Duration: 50 minutes - Audio/video needs: none ","Board of Governors",PUBLIC
"Level up with HabitRPG ",4/25/2015,9:00,4/25/2015,9:50,FALSE,"Learn about & share tips for HabitRPG, an open-source habit building program that treats your life like a Role Playing Game. After a brief intro for newbies, participants will share how they've used HabitRPG to have fun, develop better habits, Get Things Done, and gamify their lives.  Speakers include:Paul Kemner - Track: Life, Gaming  - Duration: 50 minutes - Audio/video needs: Projector ","Montcalm",PUBLIC
"Retro Roots Anime: Perfect Overload Lovely Superbash!",4/25/2015,14:00,4/25/2015,15:50,FALSE,"Drop in for a magical mishmash of menacing mecha, obnoxious aliens, daring detectives, bumbling baka, romance, thrills, and gratuitous destruction! Discover ancient (crudely-animated) treasures for the first time, or relive the heartwarming nostalgia of the years when none of your friends knew what this Japanese animation style was! We'll sample some great series, and show highlights of notable movies as well. Cutoff is 1989- the year Tezuka Osamu (Astroboy, Kimba etc) died. “Seriously? The God Cannon Is A Beauty's Keyword To Escape!” “Target! Locku On!”  Speakers include:Paul Kemner - Track: Anime  - Duration: 1 hour and 50 minutes - Audio/video needs: Projector ","Nicolet",PUBLIC
"Polytheist Religions for Writers",4/25/2015,17:00,4/25/2015,17:50,FALSE,"Many fantasy (and SF) worlds have their own religions. However, we often assume that religions with more than one deity work the same as more familiar monotheist ones, or we rely on simplistic retellings of mythology or 'shaggy god stories.' Which writers do a good job weaving 'the gods' into their stories? How did different polytheist cultures interact? What features of historical (or current) polytheist religions can we use to enrich our worlds and generate plot points?  Speakers include:Paul Kemner, Ericka Kahler - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Story Structure: What Is It, and Can It Make Your Writing Zoom?",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Got a story that doesn't move, or just seems a bit flat? Can't figure out what comes next, or how to bring it to a satisfactory conclusion? Maybe it needs some structure! What's the story type- Milieu, Idea, Character, or Event? Will a Three-Act arrangement give it some shape, or would the Hollywood Formula make more sense? We'll look at different story structures, using movies we've probably all seen as examples.  Speakers include:Paul Kemner, Ericka Kahler, Suzanne Church, Clarence Young, Charlie Jane Anders - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix B",PUBLIC
"Retro Roots Anime: Perfect Overload Lovely Superbash!",4/25/2015,14:00,4/25/2015,15:50,FALSE,"Drop in for a magical mishmash of menacing mecha, obnoxious aliens, daring detectives, bumbling baka, romance, thrills, and gratuitous destruction! Discover ancient (crudely-animated) treasures for the first time, or relive the heartwarming nostalgia of the years when none of your friends knew what this Japanese animation style was! We'll sample some great series, and show highlights of notable movies as well. Cutoff is 1989- the year Tezuka Osamu (Astroboy, Kimba etc) died. “Seriously? The God Cannon Is A Beauty's Keyword To Escape!” “Target! Locku On!”  Speakers include:Paul Kemner - Track: Anime  - Duration: 1 hour and 50 minutes - Audio/video needs: Projector ","Nicolet",PUBLIC
"Polytheist Religions for Writers",4/25/2015,17:00,4/25/2015,17:50,FALSE,"Many fantasy (and SF) worlds have their own religions. However, we often assume that religions with more than one deity work the same as more familiar monotheist ones, or we rely on simplistic retellings of mythology or 'shaggy god stories.' Which writers do a good job weaving 'the gods' into their stories? How did different polytheist cultures interact? What features of historical (or current) polytheist religions can we use to enrich our worlds and generate plot points?  Speakers include:Paul Kemner, Ericka Kahler - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Nicolet",PUBLIC
"Story Structure: What Is It, and Can It Make Your Writing Zoom?",4/25/2015,19:00,4/25/2015,19:50,FALSE,"Got a story that doesn't move, or just seems a bit flat? Can't figure out what comes next, or how to bring it to a satisfactory conclusion? Maybe it needs some structure! What's the story type- Milieu, Idea, Character, or Event? Will a Three-Act arrangement give it some shape, or would the Hollywood Formula make more sense? We'll look at different story structures, using movies we've probably all seen as examples.  Speakers include:Paul Kemner, Ericka Kahler, Suzanne Church, Clarence Young, Charlie Jane Anders - Track: Literature  - Duration: 50 minutes - Audio/video needs: none ","Charlevoix B",PUBLIC
